DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Sep-2025,EQ,"5,350.50","5,363.00","5,286.00","5,350.50","5,303.00","5,302.00","5,306.71","6,246.25","3,344.00",765635,"4,06,30,02,580.00",76258
10-Sep-2025,EQ,"5,450.00","5,458.00","5,317.50","5,423.50","5,345.00","5,350.50","5,361.79","6,246.25","3,344.00",536616,"2,87,72,22,609.50",70707
09-Sep-2025,EQ,"5,465.50","5,488.00","5,391.00","5,443.00","5,445.00","5,423.50","5,433.89","6,246.25","3,344.00",608443,"3,30,62,11,165.50",62198
08-Sep-2025,EQ,"5,370.00","5,524.50","5,335.00","5,363.00","5,439.50","5,443.00","5,473.59","6,246.25","3,344.00",726543,"3,97,68,00,837.50",76589
05-Sep-2025,EQ,"5,360.00","5,419.50","5,348.50","5,351.00","5,370.00","5,363.00","5,370.23","6,246.25","3,344.00",517415,"2,77,86,39,259.00",67904
04-Sep-2025,EQ,"5,505.00","5,519.00","5,341.00","5,349.00","5,356.00","5,351.00","5,389.96","6,246.25","3,344.00",1187848,"6,40,24,56,502.50",113123
03-Sep-2025,EQ,"5,325.00","5,363.50","5,256.50","5,312.00","5,345.00","5,349.00","5,322.71","6,246.25","3,344.00",659989,"3,51,29,26,777.00",55568
02-Sep-2025,EQ,"5,290.00","5,348.00","5,208.00","5,244.00","5,320.00","5,312.00","5,288.00","6,246.25","3,344.00",962257,"5,08,84,19,061.00",85643
01-Sep-2025,EQ,"5,113.50","5,259.50","5,109.50","5,087.70","5,250.00","5,244.00","5,193.65","6,246.25","3,344.00",659443,"3,42,49,19,150.50",57368
29-Aug-2025,EQ,"5,099.50","5,148.30","5,061.40","5,091.70","5,109.50","5,087.70","5,098.90","6,246.25","3,344.00",783364,"3,99,42,92,415.50",76479
28-Aug-2025,EQ,"5,230.00","5,246.00","5,078.40","5,073.40","5,106.60","5,091.70","5,143.95","6,246.25","3,344.00",1584393,"8,15,00,38,625.90",143573
26-Aug-2025,EQ,"5,063.80","5,143.00","5,041.00","5,063.80","5,074.90","5,073.40","5,091.71","6,246.25","3,344.00",1662083,"8,46,28,48,888.60",101272
25-Aug-2025,EQ,"5,010.00","5,079.90","4,976.00","4,997.90","5,067.00","5,063.80","5,046.86","6,246.25","3,344.00",693190,"3,49,84,33,963.20",66804
22-Aug-2025,EQ,"5,097.10","5,123.30","4,982.00","5,097.10","4,992.30","4,997.90","5,015.85","6,246.25","3,344.00",1357460,"6,80,88,20,952.90",89070
21-Aug-2025,EQ,"5,136.00","5,158.90","5,040.00","5,136.00","5,109.00","5,097.10","5,102.53","6,246.25","3,344.00",819430,"4,18,11,66,575.80",75510
20-Aug-2025,EQ,"5,120.00","5,165.00","5,111.10","5,118.20","5,133.50","5,136.00","5,143.97","6,246.25","3,344.00",916240,"4,71,31,11,833.90",80954
19-Aug-2025,EQ,"4,984.00","5,139.00","4,984.00","4,984.00","5,116.80","5,118.20","5,085.76","6,246.25","3,344.00",1509894,"7,67,89,61,008.50",146312
18-Aug-2025,EQ,"4,900.00","5,119.00","4,900.00","4,708.10","4,990.00","4,984.00","5,041.54","6,246.25","3,344.00",3698091,"18,64,40,83,114.90",272977
14-Aug-2025,EQ,"4,770.00","4,773.50","4,690.50","4,768.70","4,708.00","4,708.10","4,728.30","6,246.25","3,344.00",373862,"1,76,77,30,041.60",44143
13-Aug-2025,EQ,"4,668.30","4,793.50","4,650.20","4,645.20","4,754.50","4,768.70","4,754.76","6,246.25","3,344.00",1342794,"6,38,46,69,263.20",122893
12-Aug-2025,EQ,"4,589.00","4,669.60","4,571.00","4,562.20","4,644.00","4,645.20","4,639.70","6,246.25","3,344.00",723767,"3,35,80,58,999.90",99926
11-Aug-2025,EQ,"4,603.00","4,624.70","4,539.00","4,599.80","4,565.00","4,562.20","4,569.30","6,246.25","3,344.00",455558,"2,08,15,81,374.90",68886
08-Aug-2025,EQ,"4,660.00","4,712.00","4,588.10","4,660.70","4,600.00","4,599.80","4,649.60","6,246.25","3,344.00",972461,"4,52,15,50,461.60",93029
07-Aug-2025,EQ,"4,430.00","4,674.90","4,422.30","4,474.90","4,666.10","4,660.70","4,576.59","6,246.25","3,344.00",2121194,"9,70,78,32,781.00",143867
06-Aug-2025,EQ,"4,549.60","4,549.90","4,462.10","4,546.80","4,470.10","4,474.90","4,490.06","6,246.25","3,344.00",574216,"2,57,82,65,835.40",51719
05-Aug-2025,EQ,"4,536.00","4,581.50","4,515.90","4,535.90","4,540.00","4,546.80","4,553.30","6,246.25","3,344.00",803505,"3,65,85,99,465.90",72516
04-Aug-2025,EQ,"4,315.90","4,550.00","4,310.10","4,311.60","4,535.00","4,535.90","4,462.32","6,246.25","3,344.00",1454995,"6,49,26,55,162.30",118704
01-Aug-2025,EQ,"4,255.10","4,322.00","4,240.00","4,260.70","4,309.00","4,311.60","4,298.76","6,246.25","3,344.00",473918,"2,03,72,58,394.20",47072
31-Jul-2025,EQ,"4,210.00","4,303.00","4,201.00","4,251.30","4,251.90","4,260.70","4,255.02","6,246.25","3,344.00",446590,"1,90,02,49,927.70",50482
30-Jul-2025,EQ,"4,311.00","4,325.80","4,215.70","4,325.20","4,241.00","4,251.30","4,252.05","6,246.25","3,344.00",547169,"2,32,65,90,339.80",55058
29-Jul-2025,EQ,"4,290.00","4,334.40","4,265.60","4,291.10","4,331.00","4,325.20","4,320.28","6,246.25","3,344.00",422393,"1,82,48,54,339.70",35073
28-Jul-2025,EQ,"4,215.50","4,307.00","4,215.50","4,230.70","4,292.00","4,291.10","4,280.52","6,246.25","3,344.00",462891,"1,98,14,12,429.50",49413
25-Jul-2025,EQ,"4,278.00","4,290.80","4,195.00","4,301.90","4,221.40","4,230.70","4,225.87","6,246.25","3,344.00",630896,"2,66,60,87,585.40",58776
